"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4685","TC017_@sanity_Clinical Trial Landing Page_Validate the working of View BY dropdown filter on clinical trial landing page in desktop view/iPad view, mobile view","MobileChrome","Fri Jun 27 15:35:59 IST 2025","passed","Fri Jun 27 15:36:03 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","15749","TC007_@sanity_MemberLandingPage_ Validate the UI of the each Member on Member landing page and redirection.","MobileChrome","Fri Jun 27 15:45:30 IST 2025","passed","Fri Jun 27 15:45:46 IST 2025","","Member_Landing_Page/Member_Landing_Page.spec.ts","",""
"","14438","TC014_@sanity_EventDetailPage_Verify Event Type under Registration Status on Events Detail Page on Desktop/Mobile","MobileChrome","Fri Jun 27 15:40:37 IST 2025","passed","Fri Jun 27 15:40:51 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","3787","TC002_@sanity_EventsLandingPage_Verify Events Page UI Elements & CTA on Desktop/Mobile","webkit","Fri Jun 27 15:28:01 IST 2025","passed","Fri Jun 27 15:28:05 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","16561","TC009_@sanity_EventDetailPage_Verify Registration Button Presence and Functionality on Events Detail Page on Desktop/Mobile","MobileChrome","Fri Jun 27 15:39:50 IST 2025","passed","Fri Jun 27 15:40:07 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","47558","TC004_@sanity_Clinical Trial Landing Page_Validate clinical trial count summary and filter updates","webkit","Fri Jun 27 15:17:29 IST 2025","passed","Fri Jun 27 15:18:17 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","19449","TC011_@sanity_Clinical Trial Landing Page_Validate the working of Enrollment Status filter on clinical trial landing page","MobileChrome","Fri Jun 27 15:35:10 IST 2025","passed","Fri Jun 27 15:35:29 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","7114","TC018_@sanity_Clinical Trial Landing Page _Visual UI Testing of Clincal Trial Landing page Full page","MobileChrome","Fri Jun 27 15:36:03 IST 2025","failed","Fri Jun 27 15:36:10 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","19842","TC005_@sanity_EventDetailPage_Validation of Past date section on Past dated Events Detail Page on Desktop/Mobile","MobileChrome","Fri Jun 27 15:38:38 IST 2025","passed","Fri Jun 27 15:38:58 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","15077","TC009_@sanity_EventDetailPage_Verify Registration Button Presence and Functionality on Events Detail Page on Desktop/Mobile","chromium","Fri Jun 27 15:09:11 IST 2025","passed","Fri Jun 27 15:09:26 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","4606","TC004_@sanity_DCI Blog Page_Validate UI of the DCI Blog page, validate the CTA, Pagination , filters, Blog Tiles visibility and their redirection on Desktop/Mobile","chromium","Fri Jun 27 15:00:01 IST 2025","passed","Fri Jun 27 15:00:05 IST 2025","","DCI_Blog_Landing/DCI_Blog_Landing.spec.ts","",""
"","20248","TC018_@sanity_EventDetailPage_Verify Add Event to Calendar Section and Functionality on Events Detail Page on Desktop/Mobile","chromium","Fri Jun 27 15:10:52 IST 2025","passed","Fri Jun 27 15:11:12 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","14455","TC017_@sanity_EventDetailPage_Verify Related Events Card Menu on Events Detail Page on Desktop/Mobile","MobileChrome","Fri Jun 27 15:41:20 IST 2025","passed","Fri Jun 27 15:41:35 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","16087","TC007_@sanity_EventDetailPage_Verify Event Time Format in ""When"" Section on Events Detail Page on Desktop/Mobile","chromium","Fri Jun 27 15:08:39 IST 2025","passed","Fri Jun 27 15:08:55 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","6113","TC017_@sanity_Clinical Trial Landing Page_Validate the working of View BY dropdown filter on clinical trial landing page in desktop view/iPad view, mobile view","webkit","Fri Jun 27 15:21:21 IST 2025","passed","Fri Jun 27 15:21:27 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","8747","TC004_@sanity_EventDetailPage_Validation of Navigation to Upcoming Dates Section on the Event Detail Page on Desktop/Mobile","chromium","Fri Jun 27 15:07:51 IST 2025","passed","Fri Jun 27 15:08:00 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","8707","TC009_@sanity_EventsLandingPage_Verify Event Card Details on Desktop/Mobile","chromium","Fri Jun 27 15:11:52 IST 2025","passed","Fri Jun 27 15:12:00 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","4337","TC008_@sanity_Clinical Trial Landing Page_Validate the UI of Search filter on clinical trial landing page in desktop view/iPad view.","webkit","Fri Jun 27 15:19:02 IST 2025","passed","Fri Jun 27 15:19:06 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","3260","TC008_@sanity_Clinical Trial Landing Page_Validate the UI of Search filter on clinical trial landing page in desktop view/iPad view.","MobileChrome","Fri Jun 27 15:34:58 IST 2025","passed","Fri Jun 27 15:35:01 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","9459","TC003_@sanity_DCIBlogDetailPage_Validation of Blog detail content section","chromium","Fri Jun 27 14:59:40 IST 2025","passed","Fri Jun 27 14:59:49 IST 2025","","DCI_Blog_Detail/DCI_Blog_Detail.spec.ts","",""
"","27926","TC011_@sanity_Clinical Trial Landing Page_Validate the working of Enrollment Status filter on clinical trial landing page","chromium","Fri Jun 27 14:57:49 IST 2025","passed","Fri Jun 27 14:58:17 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","13592","TC018_@sanity_EventsLandingPage_No Results Message for Irrelevant Search on Desktop/Mobile","webkit","Fri Jun 27 15:30:55 IST 2025","passed","Fri Jun 27 15:31:08 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","4489","TC014_@sanity_Clinical Trial Landing Page_Validate the UI of Age group filter on clinical trial landing page in desktop view/iPad view/mobile view","webkit","Fri Jun 27 15:20:38 IST 2025","passed","Fri Jun 27 15:20:42 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","9536","TC003_@sanity_EventDetailPage_Validation of Upcoming dates section on the Event Detail Page on Desktop/Mobile","webkit","Fri Jun 27 15:24:07 IST 2025","passed","Fri Jun 27 15:24:17 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","13977","TC010_@sanity_EventsLandingPage_Verify Event Card Link - Standard Event on Desktop/Mobile","MobileChrome","Fri Jun 27 15:42:44 IST 2025","passed","Fri Jun 27 15:42:58 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","14595","TC013_@sanity_EventDetailPage_Verify Event Type under Registration Status on Events Detail Page on Desktop/Mobile","MobileChrome","Fri Jun 27 15:40:22 IST 2025","passed","Fri Jun 27 15:40:37 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","14701","TC014_@sanity_EventDetailPage_Verify Event Type under Registration Status on Events Detail Page on Desktop/Mobile","chromium","Fri Jun 27 15:09:55 IST 2025","passed","Fri Jun 27 15:10:09 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","6479","TC001_@sanity_Clinical Trial Landing Page_Validate if user is navigated to Clinical Trial landing page","chromium","Fri Jun 27 14:56:10 IST 2025","passed","Fri Jun 27 14:56:16 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","16231","TC007_@sanity_EventDetailPage_Verify Event Time Format in ""When"" Section on Events Detail Page on Desktop/Mobile","MobileChrome","Fri Jun 27 15:39:18 IST 2025","passed","Fri Jun 27 15:39:34 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","25048","TC013_@sanity_Clinical Trial Landing Page_Validate the working of Category filter on clinical trial landing page","webkit","Fri Jun 27 15:20:13 IST 2025","passed","Fri Jun 27 15:20:38 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","200101","TC005_@sanity_DCI Blog Page_Validate the Pagination and Filter Functionalities on the DCI Blog page for Desktop/Mobile","chromium","Fri Jun 27 15:03:27 IST 2025","broken","Fri Jun 27 15:06:47 IST 2025","","DCI_Blog_Landing/DCI_Blog_Landing.spec.ts","",""
"","9989","TC009_@sanity_EventsLandingPage_Verify Event Card Details on Desktop/Mobile","webkit","Fri Jun 27 15:28:47 IST 2025","passed","Fri Jun 27 15:28:57 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","10229","TC006_@sanity_EventsLandingPage_Validate Events Type Filter - Community Selection on Desktop/Mobile","webkit","Fri Jun 27 15:28:17 IST 2025","passed","Fri Jun 27 15:28:27 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","2826","TC002_@sanity_EventsLandingPage_Verify Events Page UI Elements & CTA on Desktop/Mobile","chromium","Fri Jun 27 15:11:16 IST 2025","passed","Fri Jun 27 15:11:19 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","9270","TC003_@sanity_EventDetailPage_Validation of Upcoming dates section on the Event Detail Page on Desktop/Mobile","chromium","Fri Jun 27 15:07:40 IST 2025","failed","Fri Jun 27 15:07:50 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","13828","TC011_@sanity_EventsLandingPage_Verify Event Card Link - Event Mention on Desktop/Mobile","chromium","Fri Jun 27 15:12:14 IST 2025","passed","Fri Jun 27 15:12:28 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","4756","TC010_@sanity_Clinical Trial Landing Page_Validate the UI of Enrollment status filter on clinical trial landing page in desktop view/iPad view/mobile view","webkit","Fri Jun 27 15:19:11 IST 2025","passed","Fri Jun 27 15:19:16 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","13589","TC002_@sanity_EventDetailPage_Validation of Event Date Range Format Display on the Event Detail Page on Desktop/Mobile","chromium","Fri Jun 27 15:07:16 IST 2025","passed","Fri Jun 27 15:07:29 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","1","TC002_@sanity_Clinical Trial Landing Page_Validating the UI of Clinical Trial landing page banner","webkit","Fri Jun 27 15:18:22 IST 2025","skipped","Fri Jun 27 15:18:22 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","20082","TC005_@sanity_EventDetailPage_Validation of Past date section on Past dated Events Detail Page on Desktop/Mobile","chromium","Fri Jun 27 15:08:00 IST 2025","passed","Fri Jun 27 15:08:20 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","1","TC002_@sanity_Clinical Trial Landing Page_Validating the UI of Clinical Trial landing page banner","chromium","Fri Jun 27 14:57:08 IST 2025","skipped","Fri Jun 27 14:57:08 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","3515","TC009_@sanity_Clinical Trial Landing Page_Validate the working of Search filter on clinical trial landing page in desktop view/iPad view, mobile view","chromium","Fri Jun 27 14:57:42 IST 2025","passed","Fri Jun 27 14:57:46 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","3309","TC003_@sanity_EventsLandingPage_Verify Upcoming Events Tab Default State on Desktop/Mobile","MobileChrome","Fri Jun 27 15:41:59 IST 2025","passed","Fri Jun 27 15:42:03 IST 2025","","Events_Landing_Page/Events_Landing_Page.spec.ts","",""
"","3260","TC016_@sanity_Clinical Trial Landing Page_Validate the UI of View BY filter on clinical trial landing page in desktop view/iPad view/mobile view","chromium","Fri Jun 27 14:58:52 IST 2025","passed","Fri Jun 27 14:58:55 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","15609","TC010_@sanity_EventDetailPage_Verify Fee Section Displays Amount on Events Detail Page on Desktop/Mobile","webkit","Fri Jun 27 15:26:03 IST 2025","passed","Fri Jun 27 15:26:19 IST 2025","","Event_Detail_Page/Event_Detail_Page.spec.ts","",""
"","25467","TC004_@sanity_Clinical Trial Landing Page_Validate clinical trial count summary and filter updates","MobileChrome","Fri Jun 27 15:33:46 IST 2025","passed","Fri Jun 27 15:34:11 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
"","0","TC002_@sanity_Clinical Trial Landing Page_Validating the UI of Clinical Trial landing page banner","MobileChrome","Fri Jun 27 15:34:14 IST 2025","skipped","Fri Jun 27 15:34:14 IST 2025","","Clinical_Trial_Landing/Clinical_Trial_Landing.spec.ts","",""
